Name,Rating,Reviews,Category,Address,Website,Phone,Url
"GrowBean Technologies Pvt. Ltd.","","","Software company","64/A, Ramana Maruti Nagar, Nandanvan, Nagpur, Maharashtra 440024","http://growbean.in/","0712 271 1726","https://www.google.com/maps/place/GrowBean+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4b8a06f354a7f:0x5d1552332436fe94!8m2!3d21.123128!4d79.130251!16s%2Fg%2F11l2btg8r1!19sChIJf0o1b6C41DsRlP42JDNSFV0?authuser=0&hl=en&rclk=1"
"Bytez Technology - Digital Marketing agency in Nagpur","","","Software company","post office, plot no. 242, near hanuman nagar, Medical Chowk, Siraspeth, Nagpur, Maharashtra 440009","https://byteztechnology.com/","","https://www.google.com/maps/place/Bytez+Technology+-+Digital+Marketing+agency+in+Nagpur/data=!4m7!3m6!1s0x6c5a0935fd4aea5:0x25bf49cbc1ffe4f4!8m2!3d21.1291179!4d79.100223!16s%2Fg%2F11vhqgw8nk!19sChIJpa7UX5OgxQYR9OT_wctJvyU?authuser=0&hl=en&rclk=1"
"Creona Technology","5.0","1","Software company","106 A, Ram Kirana Store, Bus Stop, Near, Sai Mandir Rd, Sacchidanand Nagar, Ambika Nagar, Ayodhya nagar, Nagpur, Maharashtra 440024","","079725 13978","https://www.google.com/maps/place/Creona+Technology/data=!4m7!3m6!1s0x3bd4b9e36f04b81d:0xcda9712086534884!8m2!3d21.1115006!4d79.1104321!16s%2Fg%2F11fstx4623!19sChIJHbgEb-O51DsRhEhThiBxqc0?authuser=0&hl=en&rclk=1"
"UbiquityTechs","4.3","17","Software company","Prakash 663 326, Manewada Rd, Akash Nagar, Manewada, Nagpur, Maharashtra 440024","","","https://www.google.com/maps/place/UbiquityTechs/data=!4m7!3m6!1s0x3bd4b8b59c995555:0x9cfed4b9cb8dbbd!8m2!3d21.0987212!4d79.1037974!16s%2Fg%2F11f3vkz1qc!19sChIJVVWZnLW41DsRvdu4nEvtzwk?authuser=0&hl=en&rclk=1"
"Phenix Technologies","4.3","3","Software company","Plot No. 203, 1St Floor, near Sakkardara Telephone Exchange, behind Shailesh Kirana, Dattatray Nagar, Nagpur, Maharashtra 440024","","098224 71357","https://www.google.com/maps/place/Phenix+Technologies/data=!4m7!3m6!1s0x3bd4c75990d352a5:0x64ff8b302c840e3!8m2!3d21.1171766!4d79.1119147!16s%2Fg%2F1q66sxsvg!19sChIJpVLTkFnH1DsR40DIArP4TwY?authuser=0&hl=en&rclk=1"
"Argonne Technologies","","","Software company","101 Reshimbag Layout, Reshim Bagh, Nagpur, Maharashtra 440024","http://argonnetek.com/","086528 01740","https://www.google.com/maps/place/Argonne+Technologies/data=!4m7!3m6!1s0x3bd4c752f1a9e299:0x9370cc1341272a9!8m2!3d21.13282!4d79.111984!16s%2Fg%2F11rjssj_w2!19sChIJmeKp8VLH1DsRqXISNMEMNwk?authuser=0&hl=en&rclk=1"
"V-TECH SYSTEM","3.0","4","Computer service","Bande plot sq, Umred Rd, opposite Vishal Megha Mart, Nagpur, Maharashtra 440024","","097627 60311","https://www.google.com/maps/place/V-TECH+SYSTEM/data=!4m7!3m6!1s0x3bd4b9dd8d7de781:0xd727f75a536b9b5e!8m2!3d21.1240968!4d79.1175358!16s%2Fg%2F11h4nbltgb!19sChIJged9jd251DsRXptrU1r3J9c?authuser=0&hl=en&rclk=1"
"Sparsh Tech","4.5","23","Software company","Shop No. 168, RAJAT SANKUL Opp. S.T. Stand, Near Hotel Rahul Deluxe, Ganeshpeth Colony, Nagpur, Maharashtra 440018","http://www.sparshtech.com/","093737 97978","https://www.google.com/maps/place/Sparsh+Tech/data=!4m7!3m6!1s0x3bd4c1389da2ae69:0xa4f516788dceeff0!8m2!3d21.1373616!4d79.0941006!16s%2Fg%2F11hdjh6ggn!19sChIJaa6inTjB1DsR8O_OjXgW9aQ?authuser=0&hl=en&rclk=1"
"Sparsh Tech","4.5","23","Software company","Shop No. 168, RAJAT SANKUL Opp. S.T. Stand, Near Hotel Rahul Deluxe, Ganeshpeth Colony, Nagpur, Maharashtra 440018","http://www.sparshtech.com/","093737 97978","https://www.google.com/maps/place/Sparsh+Tech/data=!4m7!3m6!1s0x3bd4c1389da2ae69:0xa4f516788dceeff0!8m2!3d21.1373616!4d79.0941006!16s%2Fg%2F11hdjh6ggn!19sChIJaa6inTjB1DsR8O_OjXgW9aQ?authuser=0&hl=en&rclk=1"
"THREE TECHNOLOGY","3.0","7","Software company","South Ambazari Road, 67, Abhyankar Nagar Rd, Near petrol pump, Nagpur, Maharashtra 440010","","","https://www.google.com/maps/place/THREE+TECHNOLOGY/data=!4m7!3m6!1s0x3bd4c07ea72526d9:0x99f07d3e785fddc!8m2!3d21.1254269!4d79.0598794!16s%2Fg%2F11hbp5phcw!19sChIJ2SYlp37A1DsR3P2F59MHnwk?authuser=0&hl=en&rclk=1"
"VK Technology and Services","4.2","5","Software company","plot no26, Shriram nagar, Pawanbhumi, Wardha Rd, Somalwada, Nagpur, Maharashtra 440025","","090281 12958","https://www.google.com/maps/place/VK+Technology+and+Services/data=!4m7!3m6!1s0x3bd4bf163b7e224b:0xa5b46ec986317199!8m2!3d21.1005586!4d79.0684864!16s%2Fg%2F11j2fmsmql!19sChIJSyJ-Oxa_1DsRmXExhslutKU?authuser=0&hl=en&rclk=1"
"GrowBean Technologies Pvt. Ltd.","","","Software company","64/A, Ramana Maruti Nagar, Nandanvan, Nagpur, Maharashtra 440024","http://growbean.in/","0712 271 1726","https://www.google.com/maps/place/GrowBean+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4b8a06f354a7f:0x5d1552332436fe94!8m2!3d21.123128!4d79.130251!16s%2Fg%2F11l2btg8r1!19sChIJf0o1b6C41DsRlP42JDNSFV0?authuser=0&hl=en&rclk=1"
"UbiquityTechs","4.3","17","Software company","Prakash 663 326, Manewada Rd, Akash Nagar, Manewada, Nagpur, Maharashtra 440024","","","https://www.google.com/maps/place/UbiquityTechs/data=!4m7!3m6!1s0x3bd4b8b59c995555:0x9cfed4b9cb8dbbd!8m2!3d21.0987212!4d79.1037974!16s%2Fg%2F11f3vkz1qc!19sChIJVVWZnLW41DsRvdu4nEvtzwk?authuser=0&hl=en&rclk=1"
"Actics Technologies","4.1","13","Software company","88-B, near Padole Medical, Bajrang Nagar, Rameshwari, Nagpur, Maharashtra 440027","","082379 47303","https://www.google.com/maps/place/Actics+Technologies/data=!4m7!3m6!1s0x3bd4bf8ef3fa3165:0xe3ff8b37703002c8!8m2!3d21.116177!4d79.1026725!16s%2Fg%2F11pkddxgtx!19sChIJZTH6846_1DsRyAIwcDeL_-M?authuser=0&hl=en&rclk=1"
"IRS Technologies Private Limited","","","Software company","Kharbi Rd, New Diamond Nagar, Shaktimata Nagar, Kharbi, Nagpur, Maharashtra 440024","http://irstechnologies.com/","072183 22846","https://www.google.com/maps/place/IRS+Technologies+Private+Limited/data=!4m7!3m6!1s0x3bd4bff3681e9b49:0xe765537c841cca8!8m2!3d21.1229037!4d79.1324048!16s%2Fg%2F11ft6ddsv8!19sChIJSZseaPO_1DsRqMxByDdVdg4?authuser=0&hl=en&rclk=1"
"WAYFLOW TECHNOLOGIES PRIVATE LIMITED","","","Software company","33VX+RF5, Besa Rd, Ramchandra Nagar, Manewada, Nagpur, Maharashtra 440037","http://wayflowtechnologies.in/","086001 60276","https://www.google.com/maps/place/WAYFLOW+TECHNOLOGIES+PRIVATE+LIMITED/data=!4m7!3m6!1s0x3bd4bf376112e589:0xbeb34ca436d020e5!8m2!3d21.0945072!4d79.0987216!16s%2Fg%2F11vr5vwtzn!19sChIJieUSYTe_1DsR5SDQNqRMs74?authuser=0&hl=en&rclk=1"
